brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
The Clozet,side detail midi coat green,a171644,1/8/20,1/21/21,4days,O,Y
Louis Vuitton,logo chain tote bag black,a1143948,1/21/21,1/21/21,4days,BA,Y
Thom Browne,basic pattern sweat-shirts grey,a198621,4/25/20,1/21/21,4days,T,Y
Miu Miu,bauletto vitello pink,a1106233,6/27/20,1/21/21,7days,BA,Y
ACNE STUDIOS,basic pattern sweater navy,a1143946,1/21/21,1/21/21,7days,T,Y
Burberry London,hoody belted coat black,a1130171,11/12/20,1/21/21,4days,O,Y
Balenciaga,printing pattern t-shirts grey,a1130171,11/12/20,1/21/21,4days,T,Y
Dior,monogram clutch beige,a1130171,11/12/20,1/21/21,4days,BA,Y
Jill By Jill Stuart,balloon sleeve flare dress white,a1143670,1/18/21,1/21/21,7days,D,Y
Cos,wave hem line dress white,a1143670,1/18/21,1/21/21,7days,D,Y
Michaa,slit basic pattern H-Line shirt-dress white,a1143670,1/18/21,1/21/21,7days,D,Y
Mojosphine,eight button belted dress red,a1143006,1/14/21,1/21/21,7days,D,Y
Mulberry,lily bag brown multi,a1143945,1/21/21,1/21/21,4days,BA,
Saint Laurent,monogram mini universal bag black,a1143715,1/18/21,1/21/21,4days,BA,
Molliolli,pocket color block pattern fur-outer,a1140981,1/3/21,1/21/21,7days,O,Y
Fendi,chain strap tote bag multi,a18567,9/12/18,1/21/21,7days,BA,Y
JDC Lucky Chouette,button basic pattern jacket,a14083,4/5/18,1/21/21,7days,O,Y
Jacquemus,ribbon pointed rib sweater white,a1143917,1/20/21,1/20/21,4days,T,Y
Saint Laurent,classic tote bag black,a11803,7/2/17,1/20/21,4days,BA,Y
Marni,bucket shoulder bag beige,a1123232,10/8/20,1/20/21,4days,BA,Y
Prada,button basic pattern coat black,a1143909,1/20/21,1/20/21,4days,O,
